2026-08-05 08:54:42 | ERROR    | researchmind | LLM invoke failed: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.6-flash\nPlease retry in 17.49559436s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.6-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '17s'}]}}
2026-08-05 08:54:42 | ERROR    | researchmind | Interview Agent error: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.6-flash\nPlease retry in 17.49559436s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.6-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '17s'}]}}
2026-08-05 08:54:42 | INFO     | researchmind | ✔ BaseAgent completed in 34.341s
2026-08-05 08:54:42 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:55:07 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:55:41 | ERROR    | researchmind | LLM invoke failed: Error calling model 'gemini-flash-latest' (RESOURCE_EXHAUSTED): 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-3.6-flash\nPlease retry in 18.302981256s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-3.6-flash'}, 'quotaValue': '20'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '18s'}]}}
2026-08-05 08:56:15 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:56:48 | WARNING  | researchmind | Rate limited (attempt 1/3). Retrying in 20s…
2026-08-05 08:57:51 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 08:58:24 | WARNING  | researchmind | Rate limited (attempt 1/3). Retrying in 20s…
2026-08-05 08:59:17 | WARNING  | researchmind | Rate limited (attempt 2/3). Retrying in 40s…
2026-08-05 08:59:27 | INFO     | researchmind | Initializing Gemini model: gemini-flash-latest
2026-08-05 09:00:02 | WARNING  | researchmind | Rate limited (attempt 1/3). Retrying in 20s…
2026-08-05 15:24:38 | INFO     | researchmind | Database initialized at C:\Users\T2961~1.SUR\AppData\Local\Temp\tmppln5a11g\test.db
2026-08-05 15:24:38 | INFO     | researchmind | Database initialized at C:\Users\T2961~1.SUR\AppData\Local\Temp\tmppln5a11g\test.db
2026-08-05 15:24:38 | INFO     | researchmind | Created user tester_39c817
2026-08-05 15:24:38 | INFO     | researchmind | Database initialized at C:\Users\T2961~1.SUR\AppData\Local\Temp\tmppln5a11g\test.db
2026-08-05 15:24:38 | INFO     | researchmind | Database initialized at C:\Users\T2961~1.SUR\AppData\Local\Temp\tmppln5a11g\test.db
2026-08-05 15:24:38 | INFO     | researchmind | Created user tester_06a1cf
2026-08-05 15:24:38 | INFO     | researchmind | Database initialized at C:\Users\T2961~1.SUR\AppData\Local\Temp\tmppln5a11g\test.db
2026-08-05 15:24:39 | INFO     | researchmind | Chunked text into 5 chunks
